Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,55,Male,Blouse,Clothing,56,Kentucky,L,Gray,Summer,4.8,Yes,Express,Yes,Yes,14,Venmo,Every 3 Months
2,19,Male,Sweater,Clothing,69,Maine,L,Maroon,Spring,4.2,Yes,2-Day Shipping,Yes,Yes,2,Cash,Annually
3,50,Male,Jeans,Clothing,56,Massachusetts,S,Maroon,Winter,3.5,Yes,2-Day Shipping,Yes,Yes,23,Credit Card,Monthly
4,21,Male,Sandals,Footwear,32,Rhode Island,M,Maroon,Summer,4.1,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly
5,45,Male,Blouse,Clothing,12,Oregon,M,Turquoise,Summer,3.5,Yes,Free Shipping,Yes,Yes,31,PayPal,Bi-Weekly
6,46,Male,Sneakers,Footwear,60,Wyoming,M,White,Summer,4.7,Yes,Next Day Air,Yes,Yes,14,Venmo,Every 3 Months
7,63,Male,Shirt,Clothing,35,Montana,M,Gray,Fall,4.0,Yes,2-Day Shipping,Yes,Yes,49,Cash,Weekly
8,27,Male,Shorts,Clothing,50,Louisiana,L,Charcoal,Summer,3.6,Yes,Free Shipping,Yes,Yes,19,Credit Card,Every 3 Months
9,26,Male,Coat,Outerwear,191,West Virginia,L,Silver,Fall,4.6,Yes,Express,Yes,Yes,8,Venmo,Quarterly
10,57,Male,Handbag,Accessories,141,Missouri,M,Pink,Winter,4.3,Yes,Next Day Air,Yes,Yes,4,Cash,Annually
11,53,Male,Shoes,Footwear,127,Arkansas,L,Purple,Spring,4.7,Yes,Express,Yes,Yes,26,Bank Transfer,Monthly
12,30,Male,Shorts,Clothing,46,Hawaii,S,Olive,Spring,4.2,Yes,Next Day Air,Yes,Yes,10,Bank Transfer,Quarterly
13,61,Male,Coat,Outerwear,41,Delaware,M,Gold,Spring,4.8,Yes,Express,Yes,Yes,37,Venmo,Fortnightly
14,65,Male,Dress,Clothing,35,New Hampshire,M,Violet,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,31,PayPal,Bi-Weekly
15,64,Male,Coat,Outerwear,49,New York,L,Teal,Spring,4.3,Yes,Express,Yes,Yes,34,Debit Card,Bi-Weekly
16,64,Male,Skirt,Clothing,45,Rhode Island,M,Teal,Summer,4.4,Yes,Express,Yes,Yes,8,PayPal,Quarterly
17,25,Male,Sunglasses,Accessories,3,Alabama,S,Gray,Fall,2.9,Yes,Standard,Yes,Yes,44,Debit Card,Weekly
18,53,Male,Dress,Clothing,14,Mississippi,XL,Lavender,Summer,4.7,Yes,Store Pickup,Yes,Yes,36,Venmo,Fortnightly
19,52,Male,Sweater,Clothing,55,Montana,S,Black,Fall,4.0,Yes,Standard,Yes,Yes,17,Cash,Every 3 Months
20,66,Male,Pants,Clothing,21,Rhode Island,M,Green,Fall,4.6,Yes,Next Day Air,Yes,Yes,46,Debit Card,Weekly
21,21,Male,Pants,Clothing,29,Louisiana,M,Black,Fall,4.7,Yes,Next Day Air,Yes,Yes,50,Cash,Weekly
22,31,Male,Pants,Clothing,60,North Carolina,M,Charcoal,Fall,4.2,Yes,Next Day Air,Yes,Yes,22,Debit Card,Monthly
23,56,Male,Pants,Clothing,43,California,M,Peach,Spring,4.4,Yes,Next Day Air,Yes,Yes,32,Debit Card,Bi-Weekly
24,31,Male,Pants,Clothing,31,Oklahoma,XL,White,Spring,5.0,Yes,Store Pickup,Yes,Yes,40,Credit Card,Fortnightly
25,18,Male,Jacket,Outerwear,43,Florida,M,Green,Fall,3.8,Yes,2-Day Shipping,Yes,Yes,16,Debit Card,Every 3 Months
26,18,Male,Hoodie,Clothing,14,Texas,M,Silver,Spring,4.0,Yes,Free Shipping,Yes,Yes,14,PayPal,Every 3 Months
27,38,Male,Jewelry,Accessories,147,Nevada,M,Red,Spring,4.7,Yes,Next Day Air,Yes,Yes,13,Credit Card,Every 3 Months
28,56,Male,Shorts,Clothing,35,Kentucky,L,Cyan,Fall,3.8,Yes,2-Day Shipping,Yes,Yes,7,Bank Transfer,Quarterly
29,54,Male,Handbag,Accessories,114,North Carolina,M,Gray,Winter,4.4,Yes,Next Day Air,Yes,Yes,41,PayPal,Weekly
30,31,Male,Dress,Clothing,45,Wyoming,S,Black,Summer,4.3,Yes,Express,Yes,Yes,14,Credit Card,Every 3 Months
31,57,Male,Jewelry,Accessories,135,North Carolina,L,Black,Winter,4.4,Yes,Next Day Air,Yes,Yes,16,Credit Card,Every 3 Months
32,33,Male,Dress,Clothing,50,West Virginia,L,Brown,Summer,4.3,Yes,Store Pickup,Yes,Yes,45,Venmo,Weekly
33,36,Male,Jacket,Outerwear,149,Kansas,M,Silver,Spring,4.3,Yes,Express,Yes,Yes,37,Venmo,Fortnightly
34,54,Male,Pants,Clothing,27,Colorado,L,Green,Winter,4.0,Yes,Free Shipping,Yes,Yes,45,Cash,Weekly
35,36,Male,T-shirt,Clothing,48,North Dakota,L,Violet,Summer,4.2,Yes,Next Day Air,Yes,Yes,38,PayPal,Fortnightly
36,54,Male,Blouse,Clothing,56,Massachusetts,M,Cyan,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Weekly
37,35,Male,T-shirt,Clothing,45,Illinois,M,Maroon,Summer,3.7,Yes,Standard,Yes,Yes,44,PayPal,Weekly
38,35,Male,Jeans,Clothing,48,Indiana,S,Cyan,Summer,3.9,Yes,2-Day Shipping,Yes,Yes,10,PayPal,Quarterly
39,29,Male,Dress,Clothing,38,Florida,M,Red,Summer,4.4,Yes,Express,Yes,Yes,44,Venmo,Weekly
